"Driver";"Manufacturer";"cfg80211";"AP";"IBSS";"mesh";"monitor";"PHY modes";"Buses"
"ath5k";"Atheros";"yes";"yes";"yes";"yes";"yes";"A/B/G";"PCI / PCI-E / PCMCIA"
"ath9k";"Atheros";"yes";"yes";"yes";"yes";"yes";"A/B/G/N";"PCI / PCI-E / AHB / PCMCIA"
"ath9k_htc";"Atheros";"yes";"yes";"yes";"no";"yes";"B/G/N";"USB"
"b43";"Broadcom";"yes";"yes";"yes";"yes";"yes";"A(2)/B/G";"SSB / PCI / PCI-E / PCMCIA"
"b43legacy";"Broadcom";"yes";"yes";"yes";"yes";"yes";"A(2)/B/G";"PCI / SSB"
"brcmsmac";"Broadcom";"yes";"yes";"no";"no";"yes";"A(1)/B/G/N";"PCI / AXI"
"carl9170";"ZyDAS/Atheros";"yes";"yes";"yes";"yes";"yes";"A(1)/B/G/N";"USB"
"libertas_tf";"Marvell";"yes";"yes";"no";"yes";"?";"B/G";"USB"
"mac80211_hwsim";"Jouni";"yes";"yes";"yes";"no";"yes";"A/B/G/N";"NONE!"
"mwl8k";"Marvell";"yes";"yes";"?";"?";"yes";"A/B/G/N";"PCI"
"p54pci";"Intersil/Conexant";"yes";"yes";"yes";"yes";"yes";"A(1)/B/G";"PCI / PCMCIA"
"p54spi";"Conexant/ST-NXP";"yes";"yes";"yes";"yes";"yes";"A(1)/B/G";"SPI"
"p54usb";"Intersil/Conexant";"yes";"yes";"yes";"yes";"yes";"A(1)/B/G";"USB"
"rt61pci";"Ralink";"yes";"yes";"yes";"no";"yes";"A(1)/B/G";"PCI"
"rt73usb";"Ralink";"yes";"yes";"yes";"no";"yes";"A(1)/B/G";"USB"
"rt2400pci";"Ralink";"yes";"yes";"yes";"no";"yes";"B";"PCI"
"rt2500pci";"Ralink";"yes";"yes";"yes";"no";"yes";"A(1)/B/G";"PCI"
"rt2500usb";"Ralink";"yes";"yes";"yes";"no";"yes";"A(1)/B/G";"USB"
"rt2800pci";"Ralink";"yes";"yes";"?";"?";"yes";"A(1)/B/G/N";"PCI"
"rt2800usb";"Ralink";"yes";"yes";"yes";"yes(5)";"yes";"A(1)/B/G/N";"USB"
"wil6210";"Atheros";"yes";"yes";"no";"no";"yes";"AD";"PCI-E"
"wl12xx";"Texas Instruments";"yes";"yes";"yes";"no";"no";"A(1)/B/G/N";"SPI / SDIO"
"zd1211rw";"ZyDAS/Atheros";"yes";"yes";"yes";"yes";"yes";"A(2)/B/G";"USB"
